Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Ted Ginn Jr.,WR,35,6,0,0,0,0,0,0,0,0,,0,6,3,40,13.33,0,1.0,0,0,,,4.0,7.0,7.0,5.5,,189,,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Terry Godwin,WR,24,3,0,0,0,0,0,0,1,3,3.0,0,6,3,32,10.67,0,0.0,0,0,,,4.0,6.5,6.5,5.0,,193,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Riley Ridley,WR,24,5,1,0,0,0,0,0,0,0,,0,4,4,39,9.75,0,0.0,0,0,,,4.0,7.9,7.9,5.9,,190,,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Daniel Brown,WR,28,16,1,0,0,0,0,0,0,0,,0,2,2,31,15.5,0,0.0,0,0,,,3.0,5.1,5.1,4.1,,194,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Antonio Gandy-Golden,WR,22,6,2,0,0,0,0,0,1,22,22.0,0,7,1,3,3.0,0,0.0,0,0,,,3.0,3.5,3.5,3.0,,198,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Josh Malone,WR,24,4,0,0,0,0,0,0,1,12,12.0,0,6,4,16,4.0,0,0.0,0,0,,,3.0,6.8,6.8,4.8,,196,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Seth Roberts,WR,29,7,1,0,0,0,0,0,0,0,,0,6,4,31,7.75,0,0.0,0,0,,,3.0,7.1,7.1,5.1,,195,,2020,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Darrius Shepherd,WR,25,8,0,0,0,0,0,0,0,0,,0,8,5,46,9.2,0,1.0,1,0,,,3.0,7.6,8.6,5.1,,197,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deontay Burnett,WR,23,2,0,0,0,0,0,0,0,0,,0,4,3,19,6.33,0,0.0,0,0,,,2.0,4.9,4.9,3.4,,202,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Antonio Callaway,WR,23,5,1,0,0,0,0,0,0,0,,0,4,2,20,10.0,0,0.0,0,0,,,2.0,4.0,4.0,3.0,,201,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Daurice Fountain,WR,25,5,0,0,0,0,0,0,0,0,,0,3,2,23,11.5,0,0.0,0,0,,,2.0,4.3,4.3,3.3,,199,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Penny Hart,WR,24,13,0,0,0,0,0,0,1,19,19.0,0,1,1,3,3.0,0,0.0,0,0,,,2.0,3.2,3.2,2.7,,200,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tommylee Lewis,WR,28,5,0,0,0,0,0,0,2,14,7.0,0,3,1,5,5.0,0,0.0,0,0,,,2.0,2.9,2.9,2.4,,203,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Donte Moncrief,WR,27,6,0,0,0,0,0,0,1,4,4.0,0,2,1,15,15.0,0,0.0,0,0,,,2.0,2.9,2.9,2.4,,204,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
John Ross,WR,25,3,1,0,0,0,0,0,0,0,,0,7,2,17,8.5,0,0.0,0,0,,,2.0,3.7,3.7,2.7,,205,,2020,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jaleel Scott,WR,25,1,1,0,0,0,0,0,0,0,,0,1,1,16,16.0,0,0.0,0,0,,,2.0,2.6,2.6,2.1,,206,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Gehrig Dieter,WR,27,4,0,0,0,0,0,0,0,0,,0,2,1,10,10.0,0,0.0,0,0,,,1.0,2.0,2.0,1.5,,213,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
D.J. Foster,WR,27,10,0,0,0,0,0,0,2,2,1.0,0,1,1,7,7.0,0,0.0,0,0,,,1.0,1.9,1.9,1.4,,214,,2020,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bennie Fowler,WR,29,5,0,0,0,0,0,0,0,0,,0,6,2,11,5.5,0,0.0,0,0,,,1.0,3.1,3.1,2.1,,211,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Cody Hollister,WR,27,2,0,0,0,0,0,0,0,0,,0,1,1,12,12.0,0,0.0,0,0,,,1.0,2.2,2.2,1.7,,210,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Trenton Irwin,WR,25,1,0,0,0,0,0,0,0,0,,0,2,1,5,5.0,0,0.0,0,0,,,1.0,1.5,1.5,1.0,,215,,2020,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
