,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_year_id,Coll_pos,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_awards,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
185,184,MIA,Malik Washington,WR,23,2024,0,0,0,2,2,14,0,0,0,0,0,5,25,1,26,223,0,,,,Virginia,http://www.sports-reference.com/cfb/players/malik-washington-1.html,Career,,52,1,2,50.0,6,0,0.0,0,0.0,3.0,3.00,6.0,0.1,75.2,,,,,,,,,,,,,,,
186,185,PHI,Johnny Wilson,WR,23,2024,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,38,1,,,,Florida St.,http://www.sports-reference.com/cfb/players/johnny-wilson-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,186,ATL,Jase McClellan,RB,22,2024,0,0,0,0,0,2,0,0,0,0,0,13,32,0,0,0,0,,,,Alabama,http://www.sports-reference.com/cfb/players/jase-mcclellan-1.html,Career,,42,,,,,,,,,,,,,,,355,1981,5.6,18,47.2,40,409,10.2,6,9.7,395,2390,6.1,24
188,187,ATL,Casey Washington,WR,23,2024,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,14,0,,,,Illinois,http://www.sports-reference.com/cfb/players/casey-washington-1.html,Career,,55,0,3,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,,,,,,,,,,,,,,
192,191,ARI,Tejhaun Palmer,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,Ala-Birmingham,http://www.sports-reference.com/cfb/players/tejhaun-palmer-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,193,NWE,Joe Milton,QB,24,2024,0,0,0,1,1,1,22,29,241,1,0,10,16,1,0,0,0,,,,Tennessee,http://www.sports-reference.com/cfb/players/joe-milton-2.html,Career,,43,400,649,61.6,5353,37,5.7,11,1.7,8.2,8.63,13.4,124.5,146.3,,174,661,3.8,12,15.4,1,6,6.0,0,0.1,175,667,3.8,12
195,194,CIN,Tanner McLachlan,TE,25,2024,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,http://www.sports-reference.com/cfb/players/tanner-mclachlan-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,205,HOU,Jawhar Jordan,RB,25,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,http://www.sports-reference.com/cfb/players/jawhar-jordan-1.html,Career,,37,,,,,,,,,,,,,,,381,2214,5.8,18,59.8,39,476,12.2,1,12.9,420,2690,6.4,19
214,213,LAR,Jordan Whittington,WR,23,2024,0,0,0,3,3,15,0,0,0,0,0,2,12,0,22,293,0,4,,,Texas,http://www.sports-reference.com/cfb/players/jordan-whittington-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,218,BAL,Devin Leary,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,http://www.sports-reference.com/cfb/players/devin-leary-1.html,Career,,43,777,1315,59.1,9553,87,6.6,28,2.1,7.3,7.63,12.3,222.2,137.7,,178,-81,-0.5,6,-1.9,1,-4,-4.0,0,-0.1,179,-85,-0.5,6
226,225,LAC,Brenden Rice,WR,22,2024,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,USC,http://www.sports-reference.com/cfb/players/brenden-rice-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,231,NWE,Jaheim Bell,TE,23,2024,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,20,0,1,,,Florida St.,http://www.sports-reference.com/cfb/players/jaheim-bell-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,235,DEN,Devaughn Vele,WR,26,2024,0,0,0,4,4,13,0,0,0,0,0,0,0,0,41,475,3,,,,Utah,http://www.sports-reference.com/cfb/players/devaughn-vele-1.html,Career,,47,2,4,50.0,15,0,0.0,0,0.0,3.8,3.75,7.5,0.3,81.5,,,,,,,,,,,,,,,
242,241,MIA,Tahj Washington,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,USC,http://www.sports-reference.com/cfb/players/tahj-washington-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,245,GNB,Michael Pratt,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,http://www.sports-reference.com/cfb/players/michael-pratt-1.html,Career,,46,729,1203,60.6,9602,90,7.5,26,2.2,8.0,8.51,13.2,208.7,148.0,,447,1145,2.6,28,24.9,0,0,,1,0.0,447,1145,2.6,29
247,246,TAM,Devin Culp,TE,24,2024,0,0,0,1,1,5,0,0,0,0,0,0,0,0,5,88,0,,,,Washington,http://www.sports-reference.com/cfb/players/devin-culp-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,253,LAC,Cornelius Johnson,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,http://www.sports-reference.com/cfb/players/cornelius-johnson-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
